,Name,location,email
0,Grand Resort Bad Ragaz,"Bad Ragaz, Eastern Switzerland / Liechtenstein",:reservation@resortragaz.ch
1,Hôtel de l'Aigle,"Couvet, Jura & Three-Lakes",:info@gout-region.ch
2,Meisser Hotel,"Guarda, Graubünden",:info@hotel-meisser.ch
3,Hotel-Restaurant Brienzerburli,"Brienz, Bern Region",:hotel@brienzerburli.ch
4,ERMITAGE Wellness &amp; Spa Hotel,"Schönried, Bern Region",:welcome@ermitage.ch
5,B&B Türmlihus,"Fideriser Heuberge, Graubünden",:anfrage@tuermlihus.ch
6,Grand Hôtel du Lac,"Vevey, Lake Geneva Region (Vaud)",:info@ghdl.ch
7,Hotel Stern und Post,"Amsteg, Lucerne – Lake Lucerne Region",:info@stern-post.ch
8,Gorfion Familotel Liechtenstein,"Triesenberg-Malbun, Eastern Switzerland / Liechtenstein",:info@gorfion.li
9,LUGANODANTE Swiss Quality Hotel,"Lugano, Ticino",:info@luganoregion.com
10,Hotel Matthiol,"Zermatt, Valais",:info@matthiol.com
11,Hotel Chetzeron,"Crans-Montana, Valais",:hotel@chetzeron.ch
12,The River House Boutique Hotel,"Andermatt, Lucerne – Lake Lucerne Region",:river@theriverhouse.ch
13,Hotel Nidwaldnerhof,"Beckenried, Lucerne – Lake Lucerne Region",:hotel@nidwaldnerhof.ch
14,Hostellerie du Pas de l'Ours,"Crans-Montana, Valais",:pasdelours@bluewin.ch
15,Beau-Rivage Hotel,"Neuchâtel, Jura & Three-Lakes",:info@beau-rivage-hotel.ch
16,Hotel Turna Malbun,"Triesenberg-Malbun, Eastern Switzerland / Liechtenstein",:info@turna.li
17,Jugendherberge Gstaad Saanenland,"Saanen, Bern Region",:gstaadsaanenland@youthhostel.ch
18,Hotel Villa Honegg,"Ennetbürgen, Lucerne – Lake Lucerne Region",:info@villa-honegg.ch
19,THE HEY HOTEL,"Interlaken, Bern Region",:hey@theheyhotel.ch
20,Historisches Alpinhotel Grimsel Hospiz,"Guttannen, Bern Region",:hotels@grimselwelt.ch
21,Chastè Castle Hotel,"Tarasp, Graubünden",null
22,Parkhotel Gunten,"Gunten, Bern Region",:info@parkhotel-gunten.swiss
23,Palace Hotel,"Bürgenstock, Lucerne – Lake Lucerne Region",:information@buergenstock.ch
24,Hotel La Tgoma,"Lantsch / Lenz, Graubünden",:info@latgoma.ch
25,Hotel Chalet Swiss,"Interlaken, Bern Region",:info@chalet-swiss.ch
26,W Verbier,"Verbier, Valais",:reservations.wverbier@whotels.com
27,Atrium Hotel Blume,"Baden, Zurich Region",:info@blume-baden.ch
28,Hotel Vitznauerhof,"Vitznau, Lucerne – Lake Lucerne Region",:info@vitznauerhof.ch
29,Hotel Continental Park,"Lucerne, Lucerne – Lake Lucerne Region",:hotel@continental.ch
30,Hotel Caprice,"Grindelwald, Bern Region",:info@hotel-caprice.ch
31,Frutt Mountain Resort,Melchsee-Frutt,:reservation@fruttmountainresort.com
32,The Hide Flims,"Flims, Flims Laax Falera",:welcome@thehideflims.ch
33,Hotel-Restaurant Kernen,"Schönried, Bern Region",:info@hotel-kernen.ch
34,Hotel Restaurant Capricorns,"Casti-Wergenstein, Graubünden",:hotel@capricorns.ch
35,Jugendherberge Mariastein,"Mariastein, Aargau – Solothurn region",:info@baselland-tourismus.ch
